,Name,Name_4FGL,CLASS1,RAdeg,DEdeg,EF30-100,e_EF30-100,z_1FLE
43,1FLE J0827+2440,4FGL J0830.8+2410 ,fsrq,126.783035,24.667032,1.13813e-11,3.76684e-12,0.939
44,1FLE J0841+7056,4FGL J0841.3+7053 ,fsrq,130.438507,70.941139,5.43428e-11,1.20494e-11,2.218
45,1FLE J0852-1149,4FGL J0850.1-1212 ,fsrq,133.225052,-11.821919,7.30742e-12,2.41852e-12,0.566
46,1FLE J0855+2014,4FGL J0854.8+2006 ,bll,133.951645,20.244629,1.33868e-11,4.4306e-12,0.306
47,1FLE J0910+0159,4FGL J0909.1+0121 ,fsrq,137.643753,1.986513,5.88772e-12,1.94865e-12,1.024
48,1FLE J0921+4425,4FGL J0920.9+4441 ,fsrq,140.416031,44.420681,1.52181e-11,5.03669e-12,2.19
49,1FLE J0957+5503,4FGL J0957.6+5523 ,fsrq,149.279877,55.059193,8.82582e-12,2.92106e-12,0.899
50,1FLE J1005-2205,4FGL J1006.7-2159 ,fsrq,151.312759,-22.098806,7.63159e-12,2.52581e-12,0.33
51,1FLE J1008-3201,4FGL J1008.8-3139 ,bll,152.005798,-32.027912,7.68766e-12,2.54437e-12,0.0
52,1FLE J1011+2442,4FGL J1012.7+2439 ,fsrq,152.764664,24.704567,6.5712e-12,2.17485e-12,1.805
53,1FLE J1031+6001,4FGL J1031.6+6019 ,fsrq,157.96553,60.01952,1.76525e-11,5.32352e-12,1.23
54,1FLE J1030+3811,4FGL J1032.6+3737 ,bll,157.629211,38.184013,7.03671e-12,2.32892e-12,0.0
55,1FLE J1047+7131,4FGL J1048.4+7143 ,fsrq,161.908981,71.522903,5.05949e-11,1.12183e-11,1.15
56,1FLE J1049+2227,4FGL J1054.5+2211 ,bll,162.297455,22.45402,6.18624e-12,2.04744e-12,0.0
57,1FLE J1059+0208,4FGL J1058.4+0133 ,bll,164.937729,2.141416,1.32255e-11,4.37722e-12,0.89
58,1FLE J1100+8117,4FGL J1058.5+8115 ,fsrq,165.055725,81.291176,1.76693e-11,5.32861e-12,0.706
59,1FLE J1105+3807,4FGL J1104.4+3812 ,bll,166.270737,38.118946,2.44083e-11,7.36092e-12,0.031
60,1FLE J1118-0558,4FGL J1121.4-0553 ,fsrq,169.712814,-5.980172,6.0545e-12,2.00384e-12,1.297
61,1FLE J1125-1907,4FGL J1127.0-1857 ,fsrq,171.397919,-19.121937,1.7655e-11,5.32428e-12,1.048
62,1FLE J1125+3639,4FGL J1127.8+3618 ,fsrq,171.40921,36.665295,1.30644e-11,4.3239e-12,0.884
63,1FLE J1138+3832,4FGL J1131.0+3815 ,fsrq,174.699005,38.540806,1.33463e-11,4.4172e-12,1.733
64,1FLE J1145+4001,4FGL J1146.9+3958 ,fsrq,176.474304,40.022873,2.15569e-11,6.50099e-12,1.089
65,1FLE J1148-3800,4FGL J1147.0-3812 ,bll,177.038757,-38.010868,7.16149e-12,2.37022e-12,1.048
66,1FLE J1147+4836,4FGL J1153.4+4931 ,fsrq,176.90033,48.600826,7.79723e-12,2.58063e-12,0.334
67,1FLE J1201+2934,4FGL J1159.5+2914 ,fsrq,180.255737,29.566936,1.54016e-11,5.09744e-12,0.725
68,1FLE J1206+5421,4FGL J1208.9+5441 ,fsrq,181.640884,54.353306,1.01239e-11,3.35069e-12,1.345
69,1FLE J1219+2943,4FGL J1217.9+3007 ,bll,184.863251,29.733126,1.19146e-11,3.94336e-12,0.13
70,1FLE J1216+5019,4FGL J1223.9+5000 ,fsrq,184.067825,50.330036,8.43389e-12,2.79134e-12,1.066
